ID;Mùžete uvést, kolikrát jste reklamoval/a nakoupené zboží nebo službu za poslední dva roky?;Jaká musí být minimální hodnota reklamovaného zboží, abyste pøistoupil/a k reklamaci?;Které zboží nejèastìji reklamujete?;Kterou službu nejèastìji reklamujete?;Kde hledáte pomoc, pokud chcete zjistit informace o reklamacích?;Byla v pøípadì Vašich reklamací vždy dodržena zákonná lhùta 30 dní pro vyøízení reklamace?;Èemu dáváte pøi  reklamaci pøednost?;Spokojenost s postupem reklamací;Ochrana spotøebitelù;Vaše pohlaví;Váš vìk;Vaše nejvyšší ukonèené vzdìlání;Jaký smìr Vašeho vzdìlání pøevažuje?;Jaký je ve Vaší domácnosti pøíjem (èistý) na 1 osobu /mìsíc?;

1 ; Jednou ; Na èástce nezáleží ; ['Zboží spojené s informaèními technologiemi', 'Nábytek', 'Domácí spotøebièe'] ; ['Finanèní služby', 'Dodávku plynu', 'Zdravotní služby'] ; Internet ; Ano ; Vrácení penìz ; [5, 2, 3, 4, 1, 2] ; [5, 4, 2, 3, 2, 5, 1] ; Muž ; 25-34 let ; Výuèní list ; Pøírodovìdné ; 10001-20000CZK
2 ; Jednou ; 200CZK ; ['Potraviny', 'Obuv', 'Zboží spojené s informaèními technologiemi'] ; ['Sociální služby', 'Dodávku vody', 'Dodávku elektøiny'] ; Právní pøedpisy ; Ne ; Vrácení penìz ; [4, 3, 4, 3, 1, 2] ; [2, 2, 4, 4, 2, 1, 1] ; Žena ; 25-34 let ; Støedoškolské s maturitou ; Pøírodovìdné ; 5001-10000CZK
3 ; Nikdy ; 100CZK ; ['Bicykl', 'Zboží spojené s informaèními technologiemi', 'Potraviny'] ; ['Opravárenské služby', 'Sociální služby', 'Dodávku plynu'] ; Právní pøedpisy ; Ano ; Vrácení penìz ; [3, 4, 4, 3, 1, 3] ; [5, 5, 4, 5, 3, 2, 3] ; Žena ; 50-65 let ; Základní ; Ekonomické ; 20001CZK a více
4 ; Tøikrát ; 500CZK ; ['Zboží spojené s informaèními technologiemi', 'Potraviny', 'Odìvy'] ; ['Dodávku elektøiny', 'Zdravotní služby', 'Dodávku vody'] ; Internet ; Ne ; Vrácení penìz ; [1, 3, 4, 3, 5, 2] ; [2, 3, 4, 5, 2, 5, 4] ; Muž ; 25-34 let ; Základní ; Technické ; do 5000CZK
5 ; Více jak ètyøikrát ; 1000CZK ; ['Domácí spotøebièe', 'Odìvy', 'Potraviny'] ; ['Dodávku vody', 'Telefonní služby', 'Finanèní služby'] ; Tisk ; Ano ; Výmìnì za jiné zboží ; [1, 2, 2, 4, 2, 3] ; [5, 2, 5, 4, 5, 5, 5] ; Muž ; 50-65 let ; Výuèní list ; Technické ; 10001-20000CZK
6 ; Jednou ; 500CZK ; ['Odìvy', 'Potraviny', 'Nábytek'] ; ['Zdravotní služby', 'Opravárenské služby', 'Dodávku elektøiny'] ; Právní pøedpisy ; Ne ; Výmìnì za jiné zboží ; [2, 5, 2, 4, 1, 2] ; [5, 4, 3, 5, 2, 1, 5] ; Muž ; 35-49 let ; Støedoškolské s maturitou ; Technické ; 5001-10000CZK
7 ; Tøikrát ; 200CZK ; ['Odìvy', 'Obuv', 'Domácí spotøebièe'] ; ['Finanèní služby', 'Dodávku elektøiny', 'Dodávku vody'] ; Tisk ; Ano ; Opravì zboží ; [1, 4, 3, 5, 4, 3] ; [1, 3, 5, 4, 1, 2, 2] ; Žena ; 35-49 let ; Výuèní list ; Pøírodovìdné ; do 5000CZK
8 ; Tøikrát ; 2000CZK ; ['Nábytek', 'Odìvy', 'Automobil'] ; ['Sociální služby', 'Zdravotní služby', 'Opravárenské služby'] ; Zkušenosti blízkých ; Ano ; Výmìnì za jiné zboží ; [5, 4, 1, 4, 2, 2] ; [2, 1, 3, 3, 1, 4, 4] ; Žena ; 66 a více let ; Základní ; Ekonomické ; 10001-20000CZK
9 ; Nikdy ; 1000CZK ; ['Zboží spojené s informaèními technologiemi', 'Automobil', 'Domácí spotøebièe'] ; ['Dodávku elektøiny', 'Finanèní služby', 'Opravárenské služby'] ; Internet ; Ano ; Výmìnì za jiné zboží ; [4, 4, 4, 5, 5, 1] ; [5, 1, 1, 3, 5, 2, 1] ; Muž ; 50-65 let ; Støedoškolské s maturitou ; Technické ; 20001CZK a více
10 ; Jednou ; Zboží zásadnì nereklamuji ; ['Obuv', 'Bicykl', 'Domácí spotøebièe'] ; ['Dodávku plynu', 'Finanèní služby', 'Dodávku elektøiny'] ; Právní pøedpisy ; Ne ; Výmìnì zboží za nové ; [2, 4, 3, 1, 1, 3] ; [4, 4, 3, 1, 1, 3, 2] ; Muž ; 18-24 let ; Støedoškolské s maturitou ; Humanitární ; 10001-20000CZK
11 ; Více jak ètyøikrát ; 200CZK ; ['Zboží spojené s informaèními technologiemi', 'Domácí spotøebièe', 'Potraviny'] ; ['Sociální služby', 'Telefonní služby', 'Finanèní služby'] ; Internet ; Ne ; Výmìnì za jiné zboží ; [1, 1, 4, 1, 1, 1] ; [4, 3, 5, 1, 3, 4, 3] ; Muž ; 25-34 let ; Støedoškolské s maturitou ; Ekonomické ; 10001-20000CZK
